SerialNumber,DeviceUUID,OperatingSystem,OSVersion,KernelVersion,MacId,IMEI,ShippingDate,MicroControllerChipNumber,NetworkType,CommunicationProtocol,DataProtocol,IsWifiSupportAvailable,isStreamingMediaSupportAvailable,sensorType,FirmwareVersion,IsCertificateAdded,CertificatePath,IsL3,IsCapableOfPatching
SN23010000421,8c0b3cb1-d25b-4bfe-b7a0-3764885b29cb,TINYOS,1.6.0.0,1.6.0.0,8c0b3cb1-d25b-4bfe-b7a0-3764885b29cb,8c0b3cb1-d25b-4bfe-b7a0-3764885b29cb,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000422,d0259031-99fd-4d12-bee4-4db815a8dd96,TINYOS,1.6.0.0,1.6.0.0,d0259031-99fd-4d12-bee4-4db815a8dd96,d0259031-99fd-4d12-bee4-4db815a8dd96,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000423,bc33ff8a-b517-49b5-8836-b07b2977e295,TINYOS,1.6.0.0,1.6.0.0,bc33ff8a-b517-49b5-8836-b07b2977e295,bc33ff8a-b517-49b5-8836-b07b2977e295,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000424,0ef5e102-cc60-4edb-a98c-93a671703dbd,TINYOS,1.6.0.0,1.6.0.0,0ef5e102-cc60-4edb-a98c-93a671703dbd,0ef5e102-cc60-4edb-a98c-93a671703dbd,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000425,8c01de1c-1f39-47da-b1ff-f6b480df2241,TINYOS,1.6.0.0,1.6.0.0,8c01de1c-1f39-47da-b1ff-f6b480df2241,8c01de1c-1f39-47da-b1ff-f6b480df2241,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000426,0a63c857-174e-42ea-bf16-47b674901608,TINYOS,1.6.0.0,1.6.0.0,0a63c857-174e-42ea-bf16-47b674901608,0a63c857-174e-42ea-bf16-47b674901608,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000427,e91c2ac8-5f72-471b-ae9f-80937bf993a1,TINYOS,1.4.0.3,1.4.0.3,e91c2ac8-5f72-471b-ae9f-80937bf993a1,e91c2ac8-5f72-471b-ae9f-80937bf993a1,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000428,d81f83e7-8ae8-49e6-84ad-c9d3f970cb81,TINYOS,1.6.0.0,1.6.0.0,d81f83e7-8ae8-49e6-84ad-c9d3f970cb81,d81f83e7-8ae8-49e6-84ad-c9d3f970cb81,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000429,1b502b7f-20fa-432a-8313-5d22ac829780,TINYOS,1.5.0.1,1.5.0.1,1b502b7f-20fa-432a-8313-5d22ac829780,1b502b7f-20fa-432a-8313-5d22ac829780,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.5.0.1,NO,,NO,YES
SN23010000430,8b38946f-5cd9-4359-808d-c802b13a1225,TINYOS,1.6.0.0,1.6.0.0,8b38946f-5cd9-4359-808d-c802b13a1225,8b38946f-5cd9-4359-808d-c802b13a1225,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000431,3ec7e864-5c5b-46a3-ba64-9a80ea7d0787,TINYOS,1.6.0.0,1.6.0.0,3ec7e864-5c5b-46a3-ba64-9a80ea7d0787,3ec7e864-5c5b-46a3-ba64-9a80ea7d0787,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000432,8e4f00cc-761f-46f7-bde8-3dcce27d5f7e,TINYOS,1.6.0.0,1.6.0.0,8e4f00cc-761f-46f7-bde8-3dcce27d5f7e,8e4f00cc-761f-46f7-bde8-3dcce27d5f7e,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000433,cace87c1-60c1-4e75-9028-c73f1867d3c5,TINYOS,1.4.0.3,1.4.0.3,cace87c1-60c1-4e75-9028-c73f1867d3c5,cace87c1-60c1-4e75-9028-c73f1867d3c5,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000434,a31e0550-c15d-42f5-be15-0691fb53094d,TINYOS,1.6.0.0,1.6.0.0,a31e0550-c15d-42f5-be15-0691fb53094d,a31e0550-c15d-42f5-be15-0691fb53094d,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000435,a4d16c2c-5f26-4a78-a8a2-c2c2fe272883,TINYOS,1.6.0.0,1.6.0.0,a4d16c2c-5f26-4a78-a8a2-c2c2fe272883,a4d16c2c-5f26-4a78-a8a2-c2c2fe272883,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000436,df84867f-e3b4-4fbd-ad7c-7ae1f98aa940,TINYOS,1.6.0.0,1.6.0.0,df84867f-e3b4-4fbd-ad7c-7ae1f98aa940,df84867f-e3b4-4fbd-ad7c-7ae1f98aa940,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000437,c3d268d6-8e14-4d8c-b938-ee0c697543b6,TINYOS,1.6.0.0,1.6.0.0,c3d268d6-8e14-4d8c-b938-ee0c697543b6,c3d268d6-8e14-4d8c-b938-ee0c697543b6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000438,24cd2ac5-7010-44a1-94a1-02656daf9868,TINYOS,1.6.0.0,1.6.0.0,24cd2ac5-7010-44a1-94a1-02656daf9868,24cd2ac5-7010-44a1-94a1-02656daf9868,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000439,f06055f2-703a-49f0-8ecc-feeb2cd8ed6e,TINYOS,1.4.0.3,1.4.0.3,f06055f2-703a-49f0-8ecc-feeb2cd8ed6e,f06055f2-703a-49f0-8ecc-feeb2cd8ed6e,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000440,861aec8e-cf41-4000-b16f-323d74973806,TINYOS,1.6.0.0,1.6.0.0,861aec8e-cf41-4000-b16f-323d74973806,861aec8e-cf41-4000-b16f-323d74973806,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000441,88e45be9-e993-4492-abd2-7671e291197f,TINYOS,1.6.0.0,1.6.0.0,88e45be9-e993-4492-abd2-7671e291197f,88e45be9-e993-4492-abd2-7671e291197f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000442,b741f201-df3b-40cb-9128-89e4cf3cf24c,TINYOS,1.6.0.0,1.6.0.0,b741f201-df3b-40cb-9128-89e4cf3cf24c,b741f201-df3b-40cb-9128-89e4cf3cf24c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000443,a4c80f53-772a-4e6b-a528-81daa073f4ac,TINYOS,1.4.0.3,1.4.0.3,a4c80f53-772a-4e6b-a528-81daa073f4ac,a4c80f53-772a-4e6b-a528-81daa073f4ac,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000444,411604b7-9412-43b0-aa0d-ecd8c2a906dc,TINYOS,1.6.0.0,1.6.0.0,411604b7-9412-43b0-aa0d-ecd8c2a906dc,411604b7-9412-43b0-aa0d-ecd8c2a906dc,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000445,8c8abede-e27e-44a9-b335-86c39afc546c,TINYOS,1.6.0.0,1.6.0.0,8c8abede-e27e-44a9-b335-86c39afc546c,8c8abede-e27e-44a9-b335-86c39afc546c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000446,d1d11861-647e-419f-91bc-700d35c2d761,TINYOS,1.6.0.0,1.6.0.0,d1d11861-647e-419f-91bc-700d35c2d761,d1d11861-647e-419f-91bc-700d35c2d761,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000447,097ea64f-092d-4342-a3f4-e0636dfa77e3,TINYOS,1.6.0.0,1.6.0.0,097ea64f-092d-4342-a3f4-e0636dfa77e3,097ea64f-092d-4342-a3f4-e0636dfa77e3,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010000448,9084114c-3341-42d7-b7e6-1a732ff67eac,TINYOS,1.4.0.3,1.4.0.3,9084114c-3341-42d7-b7e6-1a732ff67eac,9084114c-3341-42d7-b7e6-1a732ff67eac,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.4.0.3,NO,,NO,YES
SN23010000449,dca38ddf-e831-4713-9319-8960624fdbea,TINYOS,1.6.0.0,1.6.0.0,dca38ddf-e831-4713-9319-8960624fdbea,dca38ddf-e831-4713-9319-8960624fdbea,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
